0 0 0 0 0 1 1 2 2 3 3 3 1 0 1 0 0 1 0 1 0 1 2 3 4 2 1 4 4 3 2 1 1 6 18 31 33 26 16 4 4 6 1 0 2 4 6 7 12 19 20 14 1 10 19 18 13 6 3 4 6 8 6 3 1 4 7 7 0 4 4 2 6 3 2 7 15 21 25 24 25 27 30 28 27 27 31 37 42 45 48 52 54 59 58 56 51 51 51 49 42 28 11 4 4 9 9 2 7 14 17 13 7 3 12 16 14 6 2 4 10 13 6 6 14 6 23 46 58 55 46 31 16 7 15 33 45 38 18 3 1 2 3 2 2 3 4 4 3 2 2 2 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 12 12 7
0 1 0 0 1 1 0 0 1 2 2 2 0 0 0 0 1 0 0 0 0 0 1 2 2 1 2 2 4 4 3 2 0 4 16 16 12 5 10 11 8 2 1 4 7 9 11 14 19 17 4 13 24 22 14 6 3 6 10 11 7 2 0 2 3 3 4 4 8 9 9 8 7 4 1 5 8 9 8 3 1 3 4 6 7 9 9 10 10 11 11 13 13 15 17 22 24 27 31 35 37 37 34 29 18 4 5 7 6 5 8 9 10 10 5 5 17 22 19 10 1 1 2 7 3 3 4 11 40 64 71 59 39 20 8 12 30 45 38 19 1 3 6 6 6 5 5 4 4 4 5 4 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13 13 1 13
1 1 1 1 0 1 1 2 2 2 3 2 3 2 2 0 0 0 0 0 0 0 0 0 2 4 4 0 5 11 13 11 2 1 1 3 2 3 5 6 2 1 1 3 9 18 31 36 22 3 12 11 9 1 0 0 6 10 9 5 0 1 0 1 5 10 11 10 11 12 10 5 4 3 1 1 4 4 3 2 2 4 7 11 15 16 15 14 15 16 16 17 17 17 15 15 16 16 15 15 18 23 28 29 27 21 17 11 4 6 12 12 8 6 5 5 1 11 21 24 18 7 1 0 7 9 3 2 8 31 54 66 62 48 25 11 12 30 44 37 15 2 7 9 9 9 6 4 3 4 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 16 1 26 39
1 1 2 3 3 2 2 0 0 1 0 0 1 1 2 3 2 2 1 1 0 1 1 1 2 7 5 0 14 30 49 50 36 21 18 9 2 8 3 0 1 2 6 10 21 30 31 15 8 17 12 0 4 0 5 8 7 3 1 1 1 1 7 12 15 16 17 16 13 8 3 1 5 6 6 5 4 6 6 7 6 5 5 3 1 2 6 10 12 10 9 6 3 1 2 7 14 19 21 22 20 18 15 13 14 18 21 22 18 11 1 10 15 14 8 5 5 5 0 10 21 25 17 4 2 2 2 2 2 2 9 38 65 72 57 30 12 10 28 40 34 13 4 8 8 6 4 3 2 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 9 8 28 27
1 2 2 2 3 2 2 1 1 1 0 0 0 1 2 4 3 2 1 1 0 0 0 1 1 0 3 9 28 56 94 106 87 47 17 0 4 1 2 5 6 16 25 42 47 40 7 20 27 17 5 4 5 11 11 6 1 7 8 8 11 18 24 25 20 15 10 6 0 3 5 6 9 12 11 4 4 11 16 20 25 29 31 35 38 40 41 43 45 45 45 45 46 47 44 40 35 26 16 4 6 15 20 21 18 15 12 12 13 15 13 7 2 11 18 18 13 6 2 2 10 20 28 25 13 2 2 1 4 2 4 6 36 63 72 60 35 15 13 31 48 40 17 0 2 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 17 21 29 37 34
4 5 5 4 4 5 6 6 6 5 4 2 2 2 2 1 2 1 1 1 1 0 0 1 4 5 12 26 53 77 88 90 63 26 12 18 7 0 2 6 14 32 52 66 40 3 25 20 7 2 5 12 14 11 7 1 6 14 23 29 32 29 23 17 9 3 0 2 5 7 7 4 1 5 14 24 29 33 34 36 38 38 38 36 35 33 29 26 25 28 30 34 38 43 46 50 54 57 57 54 47 37 25 11 3 14 19 19 16 12 11 12 10 4 5 14 17 14 6 1 0 3 13 24 27 19 5 4 5 1 8 6 7 25 55 75 67 45 24 19 37 52 45 21 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 12 30 59 79 83 53
21 30 25 23 21 20 18 15 13 10 9 7 6 4 3 1 1 1 0 1 1 0 1 2 5 12 26 51 72 68 38 10 20 29 33 13 2 1 1 11 22 39 38 16 22 41 28 8 0 6 13 14 10 5 2 1 7 15 21 24 21 15 7 2 0 0 0 1 2 6 14 19 26 30 34 33 29 23 16 11 6 5 5 4 5 5 4 3 2 3 4 5 5 5 6 11 16 23 30 40 48 54 55 52 45 31 12 6 18 21 19 16 14 12 9 2 8 19 24 20 12 6 2 4 15 24 23 9 4 2 4 7 2 2 22 50 65 55 35 15 11 35 53 47 20 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 20 50 77 81 60 29
51 71 61 54 50 48 47 45 42 37 33 30 27 24 20 18 16 15 12 10 7 6 7 11 20 35 55 72 64 34 28 83 101 67 21 0 1 5 12 25 31 14 19 52 47 26 1 2 7 11 9 6 3 3 13 21 21 19 13 7 2 0 0 0 0 3 10 18 26 31 31 29 26 21 14 9 6 6 4 2 1 1 1 2 2 2 3 3 2 1 1 1 1 1 2 3 4 5 5 6 10 16 24 34 43 50 50 43 26 5 12 20 22 19 15 12 4 6 17 23 23 18 12 5 2 14 24 26 16 0 7 4 3 5 6 19 47 66 64 41 18 13 35 51 44 17 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 24 61 90 83 55 31 17
82 120 116 110 104 98 95 93 89 83 77 72 68 63 57 52 48 47 43 37 30 27 26 35 52 73 86 72 38 17 79 120 98 47 2 0 4 18 33 32 12 25 44 44 18 4 5 11 12 8 2 1 8 20 29 30 24 15 8 3 0 2 1 3 12 20 28 30 30 25 16 9 5 5 5 3 3 2 1 0 1 1 1 2 3 3 3 3 3 3 2 2 3 3 3 2 3 3 3 2 3 4 6 7 11 20 34 48 55 51 36 14 5 18 22 20 16 10 4 6 17 25 23 15 6 1 9 20 26 17 2 5 0 7 5 8 27 57 77 70 46 17 12 35 51 42 15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 30 79 116 109 70 38 28 18
82 127 134 138 139 137 134 133 133 133 132 130 128 125 120 114 108 103 97 90 81 73 67 71 86 101 89 51 10 80 100 85 32 10 1 3 8 19 26 17 10 25 23 9 8 10 14 9 5 2 1 13 25 29 23 13 7 4 3 2 0 2 11 23 30 29 22 14 8 5 4 3 2 2 3 2 2 1 1 2 2 2 2 2 2 2 2 2 2 3 3 4 4 4 4 4 4 4 4 5 5 5 6 6 7 7 10 14 25 39 50 52 42 21 1 17 23 21 16 8 0 10 21 25 21 12 4 3 13 20 15 2 9 9 3 1 3 15 42 65 69 45 19 13 36 50 39 12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 39 91 125 111 72 44 34 25 12
